"","Session","CT","NK","Period","SEQ_GRP","SEQ","NS","player.participate"
"1","S1","None","Local",1,"2",4,"Clique",1
"2","S1","None","Local",1,"2",4,"Clique",1
"3","S1","None","Local",1,"2",4,"Clique",1
"4","S1","None","Local",1,"2",4,"Clique",0
"5","S1","None","Local",1,"2",4,"Clique",1
"6","S1","None","Local",1,"2",5,"Star",0
"7","S1","None","Local",1,"2",5,"Star",0
"8","S1","None","Local",1,"2",5,"Star",1
"9","S1","None","Local",1,"2",5,"Star",1
"10","S1","None","Local",1,"2",5,"Star",0
"11","S1","None","Local",1,"2",6,"Circle",1
"12","S1","None","Local",1,"2",6,"Circle",0
"13","S1","None","Local",1,"2",6,"Circle",0
"14","S1","None","Local",1,"2",6,"Circle",0
"15","S1","None","Local",1,"2",6,"Circle",1
"16","S1","None","Local",6,"2",4,"Circle",1
"17","S1","None","Local",6,"2",4,"Circle",0
"18","S1","None","Local",6,"2",4,"Circle",0
"19","S1","None","Local",6,"2",4,"Circle",0
"20","S1","None","Local",6,"2",4,"Circle",0
"21","S1","None","Local",6,"2",5,"Clique",0
"22","S1","None","Local",6,"2",5,"Clique",1
"23","S1","None","Local",6,"2",5,"Clique",1
"24","S1","None","Local",6,"2",5,"Clique",1
"25","S1","None","Local",6,"2",5,"Clique",1
"26","S1","None","Local",6,"2",6,"Star",1
"27","S1","None","Local",6,"2",6,"Star",1
"28","S1","None","Local",6,"2",6,"Star",1
"29","S1","None","Local",6,"2",6,"Star",0
"30","S1","None","Local",6,"2",6,"Star",0
"31","S1","None","Local",11,"2",4,"Star",1
"32","S1","None","Local",11,"2",4,"Star",0
"33","S1","None","Local",11,"2",4,"Star",0
"34","S1","None","Local",11,"2",4,"Star",0
"35","S1","None","Local",11,"2",4,"Star",0
"36","S1","None","Local",11,"2",5,"Circle",0
"37","S1","None","Local",11,"2",5,"Circle",0
"38","S1","None","Local",11,"2",5,"Circle",0
"39","S1","None","Local",11,"2",5,"Circle",1
"40","S1","None","Local",11,"2",5,"Circle",0
"41","S1","None","Local",11,"2",6,"Clique",1
"42","S1","None","Local",11,"2",6,"Clique",1
"43","S1","None","Local",11,"2",6,"Clique",0
"44","S1","None","Local",11,"2",6,"Clique",1
"45","S1","None","Local",11,"2",6,"Clique",1
"46","S2","None","Global",1,"1",1,"Clique",1
"47","S2","None","Global",1,"1",1,"Clique",1
"48","S2","None","Global",1,"1",1,"Clique",1
"49","S2","None","Global",1,"1",1,"Clique",1
"50","S2","None","Global",1,"1",1,"Clique",1
"51","S2","None","Global",1,"1",2,"Star",0
"52","S2","None","Global",1,"1",2,"Star",1
"53","S2","None","Global",1,"1",2,"Star",0
"54","S2","None","Global",1,"1",2,"Star",1
"55","S2","None","Global",1,"1",2,"Star",0
"56","S2","None","Global",1,"1",3,"Circle",1
"57","S2","None","Global",1,"1",3,"Circle",1
"58","S2","None","Global",1,"1",3,"Circle",0
"59","S2","None","Global",1,"1",3,"Circle",0
"60","S2","None","Global",1,"1",3,"Circle",1
"61","S2","None","Global",6,"1",1,"Star",1
"62","S2","None","Global",6,"1",1,"Star",1
"63","S2","None","Global",6,"1",1,"Star",0
"64","S2","None","Global",6,"1",1,"Star",1
"65","S2","None","Global",6,"1",1,"Star",0
"66","S2","None","Global",6,"1",2,"Circle",0
"67","S2","None","Global",6,"1",2,"Circle",1
"68","S2","None","Global",6,"1",2,"Circle",1
"69","S2","None","Global",6,"1",2,"Circle",1
"70","S2","None","Global",6,"1",2,"Circle",0
"71","S2","None","Global",6,"1",3,"Clique",1
"72","S2","None","Global",6,"1",3,"Clique",1
"73","S2","None","Global",6,"1",3,"Clique",1
"74","S2","None","Global",6,"1",3,"Clique",1
"75","S2","None","Global",6,"1",3,"Clique",1
"76","S2","None","Global",11,"1",1,"Circle",0
"77","S2","None","Global",11,"1",1,"Circle",1
"78","S2","None","Global",11,"1",1,"Circle",1
"79","S2","None","Global",11,"1",1,"Circle",1
"80","S2","None","Global",11,"1",1,"Circle",0
"81","S2","None","Global",11,"1",2,"Clique",0
"82","S2","None","Global",11,"1",2,"Clique",1
"83","S2","None","Global",11,"1",2,"Clique",1
"84","S2","None","Global",11,"1",2,"Clique",1
"85","S2","None","Global",11,"1",2,"Clique",1
"86","S2","None","Global",11,"1",3,"Star",1
"87","S2","None","Global",11,"1",3,"Star",0
"88","S2","None","Global",11,"1",3,"Star",0
"89","S2","None","Global",11,"1",3,"Star",0
"90","S2","None","Global",11,"1",3,"Star",0
"91","S4","Wall","Global",1,"2",4,"Clique",1
"92","S4","Wall","Global",1,"2",4,"Clique",1
"93","S4","Wall","Global",1,"2",4,"Clique",1
"94","S4","Wall","Global",1,"2",4,"Clique",1
"95","S4","Wall","Global",1,"2",4,"Clique",1
"96","S4","Wall","Global",1,"2",5,"Star",1
"97","S4","Wall","Global",1,"2",5,"Star",1
"98","S4","Wall","Global",1,"2",5,"Star",1
"99","S4","Wall","Global",1,"2",5,"Star",1
"100","S4","Wall","Global",1,"2",5,"Star",1
"101","S4","Wall","Global",1,"2",6,"Circle",1
"102","S4","Wall","Global",1,"2",6,"Circle",1
